City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
211,Juneau,US,2022-07-06 16:57:30,58.3019,-134.4197,60.98,100,100,0.51
212,Bandarbeyla,SO,2022-07-06 17:01:15,9.4942,50.8122,76.6,81,7,37.11
213,Kamaishi,JP,2022-07-06 17:01:15,39.2667,141.8833,68.23,92,54,8.59
214,Inhambane,MZ,2022-07-06 17:01:16,-23.865,35.3833,66.61,71,0,4.07
215,Sao Joao Da Barra,BR,2022-07-06 17:01:16,-21.6403,-41.0511,75.52,63,0,17.13
216,Souillac,MU,2022-07-06 17:01:14,-20.5167,57.5167,68.99,67,100,14.23
217,Riyadh,SA,2022-07-06 17:01:07,24.6877,46.7219,97.38,11,83,11.25
218,Taoudenni,ML,2022-07-06 17:01:18,22.6783,-3.9836,115.25,4,3,10.27
219,Soyo,AO,2022-07-06 17:01:18,-6.1349,12.3689,72.05,77,50,9.26
220,La Asuncion,VE,2022-07-06 17:01:19,11.0333,-63.8628,82.58,72,87,15.21
221,The Pas,CA,2022-07-06 17:00:47,53.8251,-101.2541,60.82,82,100,3.44
222,Quatre Cocos,MU,2022-07-06 17:01:20,-20.2078,57.7625,69.1,67,88,14.85
223,Khatanga,RU,2022-07-06 16:58:56,71.9667,102.5,55.42,54,96,4.79
224,Alice Springs,AU,2022-07-06 17:01:20,-23.7,133.8833,31.55,64,0,4.61
225,Teno,CL,2022-07-06 17:01:21,-34.8667,-71.1833,43.54,97,100,4.72
226,Port Augusta,AU,2022-07-06 17:01:22,-32.5,137.7667,47.82,82,19,3.94
227,Abulug,PH,2022-07-06 17:01:22,18.4453,121.4533,78.62,87,98,6.53
228,Sabzevar,IR,2022-07-06 17:01:23,36.2126,57.6819,80.26,22,0,14.97
229,Sioux Lookout,CA,2022-07-06 17:00:15,50.1001,-91.917,75.06,31,8,4.72
230,Moron,AR,2022-07-06 17:02:25,-34.6534,-58.6198,56.01,98,77,7.25
231,Namibe,AO,2022-07-06 17:02:25,-15.1961,12.1522,66.25,84,6,6.69
232,Maragogi,BR,2022-07-06 17:02:26,-9.0122,-35.2225,78.55,81,15,13.02
233,Lasa,IT,2022-07-06 17:02:26,46.6166,10.7002,76.37,50,47,2.21
234,Peace River,CA,2022-07-06 17:00:19,56.2501,-117.286,64.83,65,15,5.97
235,Jorochito,BO,2022-07-06 17:02:27,-18.05,-63.4333,87.73,39,85,13.58
236,Pampa,US,2022-07-06 16:57:46,35.5362,-100.9599,96.84,28,0,9.22
237,Nador,MA,2022-07-06 17:02:27,35.174,-2.9287,82.65,61,0,4.61
238,Victoria,HK,2022-07-06 17:00:59,22.2855,114.1577,84.38,87,100,5.99
239,Kolhapur,IN,2022-07-06 16:59:14,16.7,74.2167,72.25,88,100,10.92
240,Bakhmach,UA,2022-07-06 17:02:28,51.1808,32.7569,77.18,62,86,9.86
241,Kununurra,AU,2022-07-06 17:02:13,-15.7667,128.7333,49.98,81,46,1.14
242,Hambantota,LK,2022-07-06 17:01:30,6.1241,81.1185,81.77,73,100,18.39
243,Sampit,ID,2022-07-06 17:02:29,-2.5333,112.95,73.11,98,98,1.88
244,Sao Domingos Do Maranhao,BR,2022-07-06 17:02:30,-5.5758,-44.3853,91.24,35,38,7.99
245,Komsomolskiy,UZ,2022-07-06 17:02:30,40.4272,71.7189,84.92,24,0,2.3
246,Rio Grande,BR,2022-07-06 17:02:30,-32.035,-52.0986,60.93,94,100,13.4
247,Kanniyakumari,IN,2022-07-06 17:02:31,8.0833,77.5667,81.68,69,100,15.86
248,Bida,NG,2022-07-06 17:02:31,9.0833,6.0167,85.82,66,83,2.73
249,Thanh Hoa,VN,2022-07-06 16:59:20,19.8,105.7667,80.46,92,100,1.92
250,Waipawa,NZ,2022-07-06 17:02:32,-41.4122,175.5153,38.01,84,71,3.89
251,Cidreira,BR,2022-07-06 17:02:33,-30.1811,-50.2056,66.7,86,100,12.08
252,Dubai,AE,2022-07-06 16:59:14,25.2582,55.3047,102.49,34,0,12.66
253,Tuktoyaktuk,CA,2022-07-06 17:02:33,69.4541,-133.0374,52.5,74,1,5.77
254,Heihe,CN,2022-07-06 17:02:34,50.2441,127.4902,70.86,94,100,7.54
255,Kruisfontein,ZA,2022-07-06 17:02:34,-34.0033,24.7314,58.89,75,0,2.8
256,Progreso,MX,2022-07-06 16:58:34,21.2833,-89.6667,90.1,60,43,10.36
257,Lakes Entrance,AU,2022-07-06 17:02:36,-37.8811,147.981,38.16,76,53,7.65
258,Atambua,ID,2022-07-06 17:02:37,-9.1061,124.8925,65.03,82,19,6.02
259,Atar,MR,2022-07-06 17:02:37,20.5169,-13.0499,111.9,7,5,14.72
260,Bam,IR,2022-07-06 17:02:37,29.106,58.357,93.42,16,20,11.25
261,Yatou,CN,2022-07-06 17:02:38,37.15,122.3833,75.4,97,100,18.79
262,Imbituba,BR,2022-07-06 17:02:39,-28.24,-48.6703,70.09,87,100,4.0
263,Khorixas,NA,2022-07-06 17:02:39,-20.3667,14.9667,73.47,23,0,6.13
264,Martuni,AM,2022-07-06 17:02:40,40.1377,45.3045,57.43,70,42,7.76
265,Harper,LR,2022-07-06 17:02:40,4.375,-7.7169,79.79,75,55,10.11
266,Lata,PT,2022-07-06 17:02:41,40.1629,-8.3327,86.49,51,0,12.15
267,Chernyshevskiy,RU,2022-07-06 17:02:42,63.0128,112.4714,52.09,72,87,4.07
268,Beringovskiy,RU,2022-07-06 17:02:42,63.05,179.3167,46.06,89,92,4.25
269,Velika Gorica,HR,2022-07-06 17:02:43,45.7125,16.0756,84.7,35,0,6.91
270,Kodinar,IN,2022-07-06 17:02:43,20.7903,70.7031,81.3,87,89,15.95
271,Isangel,VU,2022-07-06 17:02:44,-19.55,169.2667,74.37,89,76,7.38
272,Hami,CN,2022-07-06 17:02:45,42.8,93.45,81.16,25,64,16.44
273,Stolin,BY,2022-07-06 17:02:45,51.8912,26.846,59.0,86,100,9.93
274,Bilibino,RU,2022-07-06 17:02:46,68.0546,166.4372,47.66,87,100,1.7
275,Pacific Grove,US,2022-07-06 17:02:46,36.6177,-121.9166,66.81,81,100,3.44
276,Asau,RO,2022-07-06 17:03:46,46.4333,26.4,70.72,89,98,2.77
