City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
330,Ures,MX,29.4333,-110.4,88.74,41,38,23.49,scattered clouds
331,Manicore,BR,-5.8092,-61.3003,77.61,68,69,2.91,broken clouds
332,Dogondoutchi,NE,13.6393,4.0287,82.26,63,100,18.01,overcast clouds
333,Norwich,GB,52.6278,1.2983,60.26,88,40,4.61,scattered clouds
334,Rayadrug,IN,14.7,76.8667,72.86,85,100,18.3,overcast clouds
335,Mettlach,DE,49.4935,6.5969,58.77,89,53,3.04,broken clouds
336,Goderich,CA,43.7501,-81.7165,63.91,69,68,11.23,broken clouds
337,Safranbolu,TR,41.2508,32.6942,61.61,92,18,1.72,few clouds
338,Douglas,US,41.3,-96.167,76.95,88,0,5.75,clear sky
339,Manaus,BR,-3.1019,-60.025,79.3,89,0,6.91,clear sky
340,Trinidad,BO,-14.8333,-64.9,75.56,59,43,2.68,scattered clouds
341,Ingleside,US,27.8778,-97.2117,86.02,80,0,14.97,clear sky
342,Saravan,AM,39.7196,45.6483,60.82,65,4,4.9,clear sky
343,Tondano,ID,1.3038,124.9112,82.49,83,84,4.34,broken clouds
344,Praxedis Guerrero,MX,31.3667,-106.0167,88.05,29,83,4.5,broken clouds
